分类,对外型号,含氢量,乙烯基含量,挥发分min,挥发分max,平均分子量(万),铂含量(ppm),物料键
硅油,硅油H1,0.0075,,0.8,1.2,,,硅油::硅油H1
硅油,硅油H2,0.01,,0.1,0.2,,,硅油::硅油H2
硅油,硅油H3,0.012,,0.1,0.3,,,硅油::硅油H3
硅油,硅油H4,0.016,,1.0,2.4,,,硅油::硅油H4
硅油,硅油V1,,0.0031,,,,,硅油::硅油V1
硅油,硅油V2,,0.0104,,,,,硅油::硅油V2
助剂,助剂Y1,,,,,,,助剂::助剂Y1
助剂,助剂Y2,,,,,,,助剂::助剂Y2
助剂,助剂Y3,,,,,,,助剂::助剂Y3
助剂,助剂Y4,,,,,,,助剂::助剂Y4
助剂,助剂Y5,,,,,,,助剂::助剂Y5
助剂,助剂Y6,,,,,,,助剂::助剂Y6
助剂,助剂D1,,,,,,,助剂::助剂D1
助剂,助剂D2,,,,,,,助剂::助剂D2
助剂,助剂D3,,,,,,,助剂::助剂D3
助剂,助剂C55,,,,,,5000.0,助剂::助剂C55
助剂,助剂C50,,,,,,5000.0,助剂::助剂C50
助剂,助剂C56,,,,,,5000.0,助剂::助剂C56
助剂,助剂C25,,,,,,2500.0,助剂::助剂C25
助剂,助剂C12,,,,,,1250.0,助剂::助剂C12
助剂,助剂CW,,,,,,2500.0,助剂::助剂CW
载体,载体G26,,0.0026,,,60.0,,载体::载体G26
载体,载体G17,,0.0017,,,63.0,,载体::载体G17
载体,载体G80,,0,,,82.0,,载体::载体G80
载体,载体G100,,0,,,104.0,,载体::载体G100
载体,载体F3,,,,,,,载体::载体F3
载体,载体F2,,,,,,,载体::载体F2
